#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\filtered_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_2386_phaseblock_1	87023	173296	hap2_contig_2386_phaseblock_1	171455	171456	translocation	90429	12882
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8687	8688	relocation, inconsistency = -4883759	8686	15896
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	71744	165518	hap2_contig_3587_phaseblock_1	147642	147643	local misassembly	72937	18440
chr1_MATERNAL	hap1_contig_4097_phaseblock_0	1	183094	hap2_contig_4097_phaseblock_0	93915	93916	local misassembly	93914	88913
chr1_MATERNAL	hap2_contig_4097_phaseblock_0	1	183134	hap2_contig_4097_phaseblock_0	93915	93916	local misassembly	93914	88913
chr1_MATERNAL	hap1_contig_4507_phaseblock_0	1	42838	hap2_contig_4507	17737	17738	relocation, inconsistency = 19016	17677	39128
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720	3173	3174	translocation	3172	27941
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720	31115	31116	relocation, inconsistency = 612350	27941	4404
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720	35520	35521	relocation, inconsistency = -73422	4404	12425
chr1_MATERNAL	hap2_contig_4879	1	41014	hap1_contig_4879	27807	27808	relocation, inconsistency = 2037648	27776	4484
chr1_MATERNAL	hap2_contig_4879	1	41014	hap1_contig_4879	32292	32293	relocation, inconsistency = 1150547	4484	9090
chr1_MATERNAL	hap2_contig_4935_phaseblock_13	28639	55808	hap1_contig_4935_phaseblock_8	38171	38480	local misassembly	10160	17483
chr1_MATERNAL	hap1_contig_5782_phaseblock_0	1	24422	hap2_contig_5782	20037	20038	relocation, inconsistency = -6151606	20006	4926
chr1_MATERNAL	hap2_contig_5848_phaseblock_0	1	26163	hap2_contig_5848	15160	15161	translocation	15146	2122
chr1_MATERNAL	hap2_contig_5848_phaseblock_0	1	26163	hap2_contig_5848	17283	17284	translocation	2122	59089
chr1_MATERNAL	hap2_contig_710	1	264498	hap1_contig_710_phaseblock_1	249945	249946	translocation	142679	13902
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	18207	18208	relocation, inconsistency = 464737	18194	6191
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	24399	24400	relocation, inconsistency = -464715	6191	18317
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	42717	42718	relocation, inconsistency = 8793	18317	12329
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	55047	55048	relocation, inconsistency = -8015	12329	6768
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	1604	8766	translocation	1603	4684
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	13450	13963	local misassembly	4684	8444
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	22892	23095	local misassembly	443	2508
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	25986	47306	relocation, inconsistency = 120765	382	35409
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	82715	86993	relocation, inconsistency = -17487	35409	316
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	26384	26385	translocation	16156	5742
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	32127	32128	translocation	5742	48271
chr1_PATERNAL	hap1_contig_1182_phaseblock_0	1	66288	hap1_contig_1182_phaseblock_0	63859	63860	relocation, inconsistency = 2581926	63858	2754
chr1_PATERNAL	hap2_contig_1182_phaseblock_0	1	66583	hap1_contig_1182_phaseblock_0	63859	63860	relocation, inconsistency = 2581926	63858	2754
