#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\raw_snp\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\filtered_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1060_phaseblock_0	1	114888	hap2_contig_1060_phaseblock_0	68322	68323	local misassembly	68321	17210
chr1_MATERNAL	hap1_contig_1128_phaseblock_0	1	88409	hap2_contig_1128_phaseblock_0	59795	59796	translocation	59794	27571
chr1_MATERNAL	hap1_contig_1529	1	56866	hap2_contig_1529	56162	56163	translocation	56161	727
chr1_MATERNAL	hap1_contig_2364	1	31432	hap2_contig_2364_phaseblock_0	20919	20920	relocation, inconsistency = 1709564	20918	528
chr1_MATERNAL	hap1_contig_2688_phaseblock_0	1	150389	hap2_contig_2688_phaseblock_0	108325	108326	translocation	108324	39906
chr1_MATERNAL	hap1_contig_2942	1	51593	hap1_contig_2942	51006	51007	translocation	51005	1054
chr1_MATERNAL	hap1_contig_317_phaseblock_0	1	116451	hap2_contig_317_phaseblock_0	42227	42228	relocation, inconsistency = 14386	42226	86983
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	126698	126699	translocation	122063	2497
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	129196	129197	local misassembly	2497	11191
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	140388	140389	translocation	11191	8025
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	148414	148415	relocation, inconsistency = 200737	8025	1795
chr1_MATERNAL	hap2_contig_2178	1	43810	hap1_contig_2178_phaseblock_0	4584	4585	relocation, inconsistency = -1031387	4583	26857
chr1_MATERNAL	hap2_contig_2178	1	43810	hap1_contig_2178_phaseblock_0	31442	31443	local misassembly	26857	9576
chr1_PATERNAL	hap2_contig_1254_phaseblock_1	193618	303223	hap1_contig_1254_phaseblock_0	223906	223907	translocation	67706	11676
chr1_PATERNAL	hap2_contig_1254_phaseblock_1	193618	303223	hap1_contig_1254_phaseblock_0	235583	235584	translocation	11676	124429
chr1_PATERNAL	hap2_contig_3373_phaseblock_0	1	130186	hap1_contig_3373	86942	86943	translocation	86941	16468
chr1_PATERNAL	hap2_contig_3373_phaseblock_0	1	130186	hap1_contig_3373	103411	103753	translocation	16468	9816
chr1_PATERNAL	hap2_contig_3373_phaseblock_0	1	130186	hap1_contig_3373	113569	113570	translocation	9816	16842
chr1_PATERNAL	hap1_contig_1059_phaseblock_0	1	82236	hap2_contig_1059_phaseblock_1	64022	64023	relocation, inconsistency = 133990	28696	15181
chr1_PATERNAL	hap1_contig_1059_phaseblock_0	1	82236	hap2_contig_1059_phaseblock_1	79204	79205	relocation, inconsistency = -134952	15181	4022
chr1_PATERNAL	hap1_contig_1068_phaseblock_1	71306	268823	hap2_contig_1068_phaseblock_1	142139	142140	relocation, inconsistency = -328891	4116	23479
