#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp_raw_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\filtered_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_2987_phaseblock_1	753331	3427489	hap2_contig_2987_phaseblock_5	3379114	3379115	translocation	77908	42102
chr1_PATERNAL	hap2_contig_1727_phaseblock_6	22215697	28301191	hap2_contig_1727_phaseblock_22	27924641	27924642	translocation	5619815	377305
chr1_PATERNAL	hap1_contig_1256_phaseblock_0	1	69279	hap1_contig_1256_phaseblock_0	53680	53681	translocation	53679	7838
chr1_PATERNAL	hap1_contig_4_phaseblock_0	1	156398	hap2_contig_4_phaseblock_0	135890	135891	translocation	135889	31340
chr2_MATERNAL	hap1_contig_2278_phaseblock_0	1	16360	hap2_contig_2278_phaseblock_0	5182	5183	translocation	5181	9509
chr2_MATERNAL	hap2_contig_2795_phaseblock_3	63134	105971	hap2_contig_2795_phaseblock_10	62664	65403	translocation	25636	38720
chr2_MATERNAL	hap2_contig_2795_phaseblock_3	63134	105971	hap2_contig_2795_phaseblock_10	104123	104124	relocation, inconsistency = 25374	38720	361
chr2_MATERNAL	hap2_contig_2795_phaseblock_3	63134	105971	hap2_contig_2795_phaseblock_10	104650	106267	local misassembly	141	1145
chr2_PATERNAL	hap1_contig_937_phaseblock_0	1	487240	hap2_contig_937_phaseblock_0	40273	40280	local misassembly	40272	446620
chr2_PATERNAL	hap2_contig_1475_phaseblock_0	1	53622	hap2_contig_1475_phaseblock_1	51058	51059	translocation	43653	1043
chr3_PATERNAL	hap2_contig_600_phaseblock_16	32830081	35586351	hap1_contig_600_phaseblock_45	32852470	32852471	translocation	70285	1764117
chr4_PATERNAL	hap2_contig_2739_phaseblock_11	16241759	16341641	hap2_contig_2739_phaseblock_22	16336522	16336529	translocation	652	44415
chr4_PATERNAL	hap2_contig_2487_phaseblock_0	1	6328	hap1_contig_2487_phaseblock_0	1795	1922	unknown	1794	1191
chr4_PATERNAL	hap2_contig_2487_phaseblock_0	1	6328	hap1_contig_2487_phaseblock_0	3113	3114	unknown	1191	0
chr5_MATERNAL	hap1_contig_1576_phaseblock_0	1	170491	hap2_contig_1576_phaseblock_0	45598	45599	translocation	45597	19347
chr5_MATERNAL	hap1_contig_1576_phaseblock_0	1	170491	hap2_contig_1576_phaseblock_0	64946	64947	translocation	19347	112384
chr5_PATERNAL	hap2_contig_2085_phaseblock_1	205273	424154	hap1_contig_2085_phaseblock_1	396142	396143	translocation	198148	5339
chr7_MATERNAL	hap1_contig_1008_phaseblock_11	13984854	15069627	hap1_contig_1008_phaseblock_20	14996740	14996741	translocation	376442	26507
chr7_MATERNAL	hap1_contig_1008_phaseblock_11	13984854	15069627	hap1_contig_1008_phaseblock_20	15023248	15023249	translocation	26507	44810
