#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	71744	165518	hap2_contig_3587_phaseblock_1	147665	147666	local misassembly	75838	18422
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	3173	3174	translocation	3172	23048
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	26222	26223	translocation	23048	3251
chr1_MATERNAL	hap1_contig_5782_phaseblock_0	1	24422	hap2_contig_5782	20037	20038	relocation, inconsistency = -6151606	20006	4926
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	18207	18208	relocation, inconsistency = 464737	18194	6191
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	24399	24400	relocation, inconsistency = -464715	6191	18317
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	42717	42718	relocation, inconsistency = 8793	18317	12329
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	55047	55048	relocation, inconsistency = -8015	12329	6768
chr1_PATERNAL	hap1_contig_2906_phaseblock_0	1	62141	hap2_contig_2906_phaseblock_0	40231	40425	translocation	40230	4607
chr1_PATERNAL	hap1_contig_2906_phaseblock_0	1	62141	hap2_contig_2906_phaseblock_0	45032	45033	translocation	4607	17574
chr1_PATERNAL	hap1_contig_1389_phaseblock_0	1	31454	hap2_contig_1389_phaseblock_0	9865	9866	relocation, inconsistency = -27882	9864	22307
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	17015	17016	relocation, inconsistency = 2158567	17014	22228
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	39244	39245	relocation, inconsistency = -324217	22228	1608
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	40853	40854	relocation, inconsistency = -1834418	1608	44830
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	85684	85731	inversion	44830	333
chr1_PATERNAL	hap2_contig_1720_phaseblock_1	32877	62246	hap1_contig_1720_phaseblock_2	51021	51022	local misassembly	14370	12090
chr1_PATERNAL	hap1_contig_1726_phaseblock_0	1	162762	hap2_contig_1726_phaseblock_0	69278	69279	local misassembly	69277	14913
chr1_PATERNAL	hap1_contig_1726_phaseblock_0	1	162762	hap2_contig_1726_phaseblock_0	84192	84339	relocation, inconsistency = -225123	14913	69286
chr1_PATERNAL	hap2_contig_2674_phaseblock_2	70317	167351	hap1_contig_2674_phaseblock_2	151586	158482	relocation, inconsistency = -6383	81293	15276
chr1_PATERNAL	hap1_contig_35_phaseblock_0	1	1256768	hap2_contig_35_phaseblock_0	59073	59074	translocation	59072	585412
chr1_PATERNAL	hap1_contig_3632_phaseblock_0	1	91260	hap2_contig_3632_phaseblock_0	41711	41712	relocation, inconsistency = -5023541	41710	1793
chr1_PATERNAL	hap1_contig_3632_phaseblock_0	1	91260	hap2_contig_3632_phaseblock_0	43505	43506	relocation, inconsistency = -1344120	1793	9302
chr1_PATERNAL	hap1_contig_3632_phaseblock_0	1	91260	hap2_contig_3632_phaseblock_0	52808	52809	relocation, inconsistency = 1344449	9302	38042
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	7190	7191	translocation	7189	6669
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	13860	13861	translocation	6669	16699
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	30560	30561	relocation, inconsistency = 57357	16699	5157
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	35718	35719	relocation, inconsistency = -57699	5157	30457
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	77079	77080	relocation, inconsistency = 51955	10902	21995
chr1_PATERNAL	hap1_contig_509_phaseblock_0	1	1769856	hap2_contig_509_phaseblock_0	75572	75573	translocation	75571	5795
chr1_PATERNAL	hap1_contig_509_phaseblock_0	1	1769856	hap2_contig_509_phaseblock_0	81368	81369	relocation, inconsistency = 113158	5795	823319
chr1_PATERNAL	hap1_contig_619_phaseblock_2	13319	119946	hap2_contig_619_phaseblock_2	32048	32049	relocation, inconsistency = 231395	18729	3074
chr1_PATERNAL	hap1_contig_619_phaseblock_2	13319	119946	hap2_contig_619_phaseblock_2	35123	35124	relocation, inconsistency = 405360	3074	9762
chr1_PATERNAL	hap1_contig_619_phaseblock_2	13319	119946	hap2_contig_619_phaseblock_2	44886	44887	relocation, inconsistency = -637249	9762	40786
chr1_PATERNAL	hap1_contig_619_phaseblock_2	13319	119946	hap2_contig_619_phaseblock_2	85673	85674	relocation, inconsistency = 1792	40786	33026
chr1_PATERNAL	hap1_contig_785_phaseblock_0	1	63677	hap2_contig_785_phaseblock_0	19917	19918	local misassembly	19916	10946
chr1_PATERNAL	hap1_contig_795_phaseblock_0	1	93177	hap2_contig_795	24080	24081	local misassembly	24079	1442
chr1_PATERNAL	hap1_contig_795_phaseblock_0	1	93177	hap2_contig_795	25523	25524	translocation	1442	33568
