#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\raw_snp\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\raw_snp_raw_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1060_phaseblock_2	230668	305458	hap2_contig_1060_phaseblock_1	287685	287686	relocation, inconsistency = 31376	110428	16937
chr1_MATERNAL	hap1_contig_1128_phaseblock_0	1	88409	hap2_contig_1128_phaseblock_0	59796	59797	translocation	59795	27571
chr1_MATERNAL	hap1_contig_2688_phaseblock_0	1	150389	hap2_contig_2688	108328	108329	translocation	108327	39913
chr1_MATERNAL	hap1_contig_3243_phaseblock_0	1	35139	hap2_contig_3243	1351	1352	translocation	1315	35816
chr1_MATERNAL	hap1_contig_3964_phaseblock_0	1	36010	hap2_contig_3964_phaseblock_0	11496	11497	local misassembly	11495	23974
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	126698	126699	translocation	122063	4925
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	131624	131625	relocation, inconsistency = 3395	4925	11478
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68218	148860	hap2_contig_4081_phaseblock_0	143103	143308	translocation	11478	6892
chr1_MATERNAL	hap2_contig_2178	1	43810	hap1_contig_2178_phaseblock_0	4589	4590	relocation, inconsistency = -1031387	4588	26865
chr1_MATERNAL	hap2_contig_2178	1	43810	hap1_contig_2178_phaseblock_0	31455	31456	relocation, inconsistency = 791819	26865	9580
chr1_PATERNAL	hap2_contig_3373_phaseblock_0	1	130186	hap1_contig_3373	86942	86943	translocation	86941	16468
chr1_PATERNAL	hap2_contig_3373_phaseblock_0	1	130186	hap1_contig_3373	103411	103753	translocation	16468	9816
chr1_PATERNAL	hap2_contig_3373_phaseblock_0	1	130186	hap1_contig_3373	113569	113570	translocation	9816	16842
chr1_PATERNAL	hap1_contig_1059_phaseblock_0	1	82236	hap2_contig_1059_phaseblock_1	64037	64038	relocation, inconsistency = 133990	25267	15182
chr1_PATERNAL	hap1_contig_1059_phaseblock_0	1	82236	hap2_contig_1059_phaseblock_1	79220	79221	relocation, inconsistency = -134952	15182	4022
chr1_PATERNAL	hap1_contig_1062_phaseblock_0	1	36886	hap1_contig_1062_phaseblock_0	15766	15767	local misassembly	15765	2865
chr1_PATERNAL	hap1_contig_1062_phaseblock_0	1	36886	hap1_contig_1062_phaseblock_0	18632	18633	relocation, inconsistency = 20958	2865	23214
chr1_PATERNAL	hap1_contig_1068_phaseblock_1	71306	268823	hap2_contig_1068_phaseblock_1	146602	146603	relocation, inconsistency = -328920	75296	23458
chr1_PATERNAL	hap1_contig_1068_phaseblock_1	71306	268823	hap2_contig_1068_phaseblock_1	170061	170062	relocation, inconsistency = 326633	23458	5758
chr1_PATERNAL	hap1_contig_1068_phaseblock_1	71306	268823	hap2_contig_1068_phaseblock_1	175820	175821	relocation, inconsistency = -418483	5758	12760
chr1_PATERNAL	hap1_contig_1068_phaseblock_1	71306	268823	hap2_contig_1068_phaseblock_1	188581	188582	relocation, inconsistency = 418983	12760	82616
chr1_PATERNAL	hap1_contig_1070_phaseblock_0	1	57291	hap2_contig_1070_phaseblock_0	11757	11758	relocation, inconsistency = 35151	11756	45493
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	243254	352855	hap2_contig_1091_phaseblock_2	269212	269213	relocation, inconsistency = -1970536	29587	15839
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	243254	352855	hap2_contig_1091_phaseblock_2	285052	285154	relocation, inconsistency = 1969874	15839	34585
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	243254	352855	hap2_contig_1091_phaseblock_2	319739	319740	relocation, inconsistency = -4997113	34585	1281
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	243254	352855	hap2_contig_1091_phaseblock_2	321021	321022	relocation, inconsistency = -1773	1281	25791
chr1_PATERNAL	hap2_contig_1091_phaseblock_0	1	149156	hap2_contig_1091_phaseblock_0	128441	128442	local misassembly	128440	20434
chr1_PATERNAL	hap1_contig_1145_phaseblock_0	1	116269	hap2_contig_1145_phaseblock_0	37619	37620	relocation, inconsistency = 805948	37618	2994
chr1_PATERNAL	hap1_contig_1145_phaseblock_0	1	116269	hap2_contig_1145_phaseblock_0	40614	40615	local misassembly	2994	52404
chr1_PATERNAL	hap1_contig_1145_phaseblock_0	1	116269	hap2_contig_1145_phaseblock_0	93019	93020	relocation, inconsistency = -798937	52404	6175
chr1_PATERNAL	hap1_contig_1201_phaseblock_0	1	47565	hap2_contig_1201_phaseblock_0	15357	15358	relocation, inconsistency = 21902	15356	32298
chr1_PATERNAL	hap1_contig_1253_phaseblock_0	1	186892	hap2_contig_1253_phaseblock_0	21423	21424	relocation, inconsistency = 1699	21422	1919
chr1_PATERNAL	hap1_contig_1253_phaseblock_0	1	186892	hap2_contig_1253_phaseblock_0	23343	23344	translocation	1919	9976
chr1_PATERNAL	hap1_contig_1253_phaseblock_0	1	186892	hap2_contig_1253_phaseblock_0	33320	33321	translocation	9976	311089
chr1_PATERNAL	hap2_contig_1525_phaseblock_0	1	89500	hap1_contig_1525_phaseblock_0	42629	42630	relocation, inconsistency = -935160	15340	20028
chr1_PATERNAL	hap2_contig_1525_phaseblock_0	1	89500	hap1_contig_1525_phaseblock_0	62658	62659	relocation, inconsistency = 935261	20028	26804
