#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_5	1	142620	hap2_contig_5	107050	107051	translocation	107049	33241
chr1_PATERNAL	hap1_contig_1276_phaseblock_14	11507930	12134864	hap1_contig_1276_phaseblock_9	12084661	12084662	relocation, inconsistency = 65896	562218	19714
chr1_PATERNAL	hap1_contig_1276_phaseblock_14	11507930	12134864	hap1_contig_1276_phaseblock_9	12104376	12104377	translocation	19714	33823
chr2_MATERNAL	hap2_contig_846_phaseblock_160	94782168	95931584	hap1_contig_846_phaseblock_130	95100961	95100962	translocation	328353	3680077
chr2_PATERNAL	hap1_contig_893_phaseblock_10	8021010	10678008	hap2_contig_893_phaseblock_8	9801769	9801770	translocation	1784717	873562
chr2_PATERNAL	hap1_contig_846_phaseblock_14	5728960	6493293	hap2_contig_846_phaseblock_13	6321454	6321455	translocation	590641	173325
chr2_PATERNAL	hap1_contig_846_phaseblock_160	94744388	95892827	hap2_contig_846_phaseblock_130	95093929	95093930	translocation	327508	3675565
chr3_PATERNAL	hap1_contig_2716_phaseblock_0	1	13632	hap2_contig_2716_phaseblock_0	2703	2704	relocation, inconsistency = 948947	2702	10921
chr3_PATERNAL	hap2_contig_600_phaseblock_53	32802504	34592108	hap1_contig_600_phaseblock_47	32853998	32853999	translocation	51389	1737568
chr4_PATERNAL	hap1_contig_2783_phaseblock_1	839	8176	hap2_contig_2783_phaseblock_1	1802	5244	unknown	962	2475
chr4_PATERNAL	hap1_contig_2783_phaseblock_1	839	8176	hap2_contig_2783_phaseblock_1	7719	7720	unknown	2475	0
chr5_PATERNAL	hap1_contig_1951_phaseblock_0	1	70552	hap2_contig_1951_phaseblock_0	44028	44029	translocation	44027	34545
chr6_MATERNAL	hap2_contig_2411_phaseblock_14	9314950	10455402	hap1_contig_2411_phaseblock_11	9435305	9435306	translocation	2182647	962011
chr6_MATERNAL	hap2_contig_2411_phaseblock_14	9314950	10455402	hap1_contig_2411_phaseblock_11	10397317	10397318	translocation	962011	12471
chr6_MATERNAL	hap2_contig_2411_phaseblock_14	9314950	10455402	hap1_contig_2411_phaseblock_11	10409789	10409790	translocation	12471	51649
chr6_PATERNAL	hap1_contig_165	1	56065	hap2_contig_165	53971	53972	translocation	53965	3423
chr6_PATERNAL	hap1_contig_2567	1	98085	hap2_contig_2567_phaseblock_0	46457	46458	translocation	46456	15014
