#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_raw_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_2386_phaseblock_5	2975842	3418820	hap1_contig_2386_phaseblock_8	3378456	3378457	translocation	77932	42446
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	71745	165519	hap2_contig_3587_phaseblock_1	147665	147666	local misassembly	75838	18422
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	3173	3174	translocation	3172	23048
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	26222	26223	translocation	23048	3251
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	18207	18208	relocation, inconsistency = 464737	18194	6191
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	24399	24400	relocation, inconsistency = -464715	6191	18317
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	42717	42718	relocation, inconsistency = 8793	18317	12329
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62464	hap1_contig_5249_phaseblock_0	55047	55048	relocation, inconsistency = -8015	12329	6768
chr1_MATERNAL	hap2_contig_5580_phaseblock_0	1	156265	hap1_contig_5580_phaseblock_0	99914	99915	relocation, inconsistency = 2836762	99900	3895
chr1_MATERNAL	hap2_contig_5580_phaseblock_0	1	156265	hap1_contig_5580_phaseblock_0	103810	103811	relocation, inconsistency = -2837212	3895	53046
chr1_PATERNAL	hap1_contig_1389_phaseblock_0	1	31454	hap2_contig_1389_phaseblock_0	9865	9866	relocation, inconsistency = -27882	9864	22307
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	17015	17016	relocation, inconsistency = 2158567	17014	22228
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	39244	39245	relocation, inconsistency = -324217	22228	1608
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	40853	40854	relocation, inconsistency = -1834418	1608	44830
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	85684	85731	inversion	44830	333
chr1_PATERNAL	hap1_contig_1726_phaseblock_0	1	162761	hap2_contig_1726_phaseblock_0	69278	69279	local misassembly	69277	14913
chr1_PATERNAL	hap1_contig_1726_phaseblock_0	1	162761	hap2_contig_1726_phaseblock_0	84192	84339	relocation, inconsistency = -225123	14913	69286
