#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\filtered_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1196_phaseblock_1	73545	140074	hap1_contig_1196_phaseblock_0	78337	78338	relocation, inconsistency = 13592	78336	12300
chr1_MATERNAL	hap1_contig_2076_phaseblock_5	292032	329693	hap2_contig_2076_phaseblock_2	311156	311157	relocation, inconsistency = 31376	101267	16750
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	74630	165518	hap2_contig_3587_phaseblock_1	147665	147666	local misassembly	75838	18422
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47330	hap2_contig_4720_phaseblock_0	3173	3174	translocation	3172	23048
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47330	hap2_contig_4720_phaseblock_0	26222	26223	translocation	23048	3251
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62462	hap1_contig_5249_phaseblock_0	18207	18208	relocation, inconsistency = 464737	18194	6191
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62462	hap1_contig_5249_phaseblock_0	24399	24400	relocation, inconsistency = -464715	6191	18317
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62462	hap1_contig_5249_phaseblock_0	42717	42718	relocation, inconsistency = 8793	18317	12329
chr1_MATERNAL	hap2_contig_5249_phaseblock_0	1	62462	hap1_contig_5249_phaseblock_0	55047	55048	relocation, inconsistency = -8015	12329	6768
