#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_raw_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_1196_phaseblock_1	90322	136654	hap1_contig_1196_phaseblock_1	109517	109518	relocation, inconsistency = -509987	18879	27797
chr1_MATERNAL	hap2_contig_2194_phaseblock_0	1	124387	hap1_contig_2194_phaseblock_0	18283	18284	relocation, inconsistency = 56603	18282	106405
chr1_MATERNAL	hap2_contig_2386_phaseblock_5	2975842	3418820	hap2_contig_2386_phaseblock_7	3376243	3376244	translocation	199056	42446
chr1_MATERNAL	hap2_contig_2386_phaseblock_5	2975842	3418820	hap2_contig_2386_phaseblock_7	3418690	3418691	translocation	42446	1855
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap2_contig_3326_phaseblock_0	1	28196	hap1_contig_3326	25779	25780	relocation, inconsistency = 298471	25328	3191
chr1_MATERNAL	hap1_contig_3360_phaseblock_0	1	15932	hap2_contig_3360	10075	10076	local misassembly	10074	6202
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	71745	165519	hap2_contig_3587_phaseblock_1	147499	147500	local misassembly	75751	18422
chr1_MATERNAL	hap1_contig_4507_phaseblock_0	1	42838	hap2_contig_4507_phaseblock_0	17784	17785	relocation, inconsistency = 19016	17724	34595
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	10321	10322	local misassembly	10320	16438
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	26760	26761	local misassembly	16438	3503
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53134	hap2_contig_4864	31294	31535	relocation, inconsistency = -3162661	4067	1606
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53134	hap2_contig_4864	33141	33142	relocation, inconsistency = 52902	1606	11323
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53134	hap2_contig_4864	44465	44493	relocation, inconsistency = 827501	11323	9333
chr1_MATERNAL	hap2_contig_4879	1	41014	hap1_contig_4879	26097	26098	relocation, inconsistency = 136559	26066	6229
chr1_MATERNAL	hap2_contig_4879	1	41014	hap1_contig_4879	32327	32372	relocation, inconsistency = -177505	6229	8861
chr1_MATERNAL	hap2_contig_4935_phaseblock_13	28640	55809	hap1_contig_4935_phaseblock_8	38167	38480	local misassembly	10160	17500
chr1_MATERNAL	hap1_contig_681_phaseblock_0	1	40127	hap2_contig_681_phaseblock_0	33300	33593	relocation, inconsistency = -23351221	33299	6970
chr1_MATERNAL	hap2_contig_5580_phaseblock_0	1	156265	hap1_contig_5580_phaseblock_0	99916	99917	relocation, inconsistency = 2836762	99902	3895
chr1_MATERNAL	hap2_contig_5580_phaseblock_0	1	156265	hap1_contig_5580_phaseblock_0	103812	103813	relocation, inconsistency = -2837212	3895	53046
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	1604	8766	translocation	1603	4684
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	13450	13963	local misassembly	4684	8444
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	22892	23095	local misassembly	443	2508
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	25986	47306	relocation, inconsistency = 120765	382	37172
