#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp_raw_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_2987_phaseblock_1	753331	3427489	hap2_contig_2987_phaseblock_7	3384341	3384342	translocation	77913	42123
chr1_PATERNAL	hap1_contig_1256_phaseblock_0	1	69279	hap1_contig_1256_phaseblock_0	50650	50651	relocation, inconsistency = 333570	50649	11079
chr1_PATERNAL	hap1_contig_1256_phaseblock_0	1	69279	hap2_contig_1256_phaseblock_0	53711	53712	relocation, inconsistency = -272640	53710	8113
chr2_MATERNAL	hap1_contig_2278_phaseblock_0	1	16360	hap2_contig_2278_phaseblock_0	5182	5183	translocation	5181	9509
chr3_PATERNAL	hap2_contig_600_phaseblock_16	32830081	35586351	hap1_contig_600_phaseblock_53	32873208	32873209	translocation	51389	1737567
chr4_PATERNAL	hap1_contig_2497	1	2816	hap2_contig_2497	1578	2053	unknown	219	749
chr4_PATERNAL	hap1_contig_2497	1	2816	hap2_contig_2497	2802	2803	unknown	749	0
chr4_PATERNAL	hap2_contig_2497	1	2783	hap2_contig_2497	1578	2053	unknown	219	749
chr4_PATERNAL	hap2_contig_2738_phaseblock_0	1	124975	hap1_contig_2738_phaseblock_0	7380	7381	translocation	7379	118132
chr5_MATERNAL	hap1_contig_20_phaseblock_16	20688560	26000061	hap2_contig_20_phaseblock_34	24620717	24620718	translocation	1891293	1336879
chr5_PATERNAL	hap1_contig_1951_phaseblock_0	1	70551	hap2_contig_1951_phaseblock_0	44028	44029	translocation	44027	34545
chr5_PATERNAL	hap2_contig_2085_phaseblock_1	205273	424154	hap2_contig_2085_phaseblock_2	396323	396324	translocation	87776	28651
chr7_MATERNAL	hap1_contig_1294_phaseblock_0	1	68281	hap2_contig_1294_phaseblock_0	17871	17872	relocation, inconsistency = 69537846	17870	50739
chr7_MATERNAL	hap1_contig_630_phaseblock_0	1	98486	hap2_contig_630_phaseblock_0	28285	28286	relocation, inconsistency = 1684	28284	68395
chr8_PATERNAL	hap2_contig_2833_phaseblock_0	1	1402741	hap2_contig_2833_phaseblock_0	29084	29085	relocation, inconsistency = 17497	29083	44850
chr8_PATERNAL	hap1_contig_3150_phaseblock_0	1	110857	hap2_contig_3150_phaseblock_0	82520	82521	relocation, inconsistency = 63457	82519	23299
