#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\filtered_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp_raw_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1254_phaseblock_70	56317187	57131077	hap2_contig_1254_phaseblock_26	57074309	57074310	local misassembly	1317515	69020
chr1_MATERNAL	hap1_contig_1727_phaseblock_7	8296848	11931045	hap2_contig_1727_phaseblock_2	9022933	9022934	translocation	723199	3991052
chr1_MATERNAL	hap1_contig_1727_phaseblock_9	12065589	15162292	hap2_contig_1727_phaseblock_2	13013986	13013987	translocation	3991052	251960
chr1_MATERNAL	hap1_contig_1727_phaseblock_9	12065589	15162292	hap2_contig_1727_phaseblock_2	13265947	13265948	translocation	251960	3820814
chr1_MATERNAL	hap1_contig_2987_phaseblock_0	1	159221	hap1_contig_2987_phaseblock_0	30539	30540	translocation	30538	719993
chr1_MATERNAL	hap1_contig_642_phaseblock_1	167038	260436	hap1_contig_642_phaseblock_0	177491	177492	relocation, inconsistency = 121476037	145135	12682
chr1_MATERNAL	hap1_contig_642_phaseblock_1	167038	260436	hap1_contig_642_phaseblock_0	190174	190175	relocation, inconsistency = 127440159	12682	60261
chr1_MATERNAL	hap2_contig_1809_phaseblock_0	1	105107	hap1_contig_1809_phaseblock_0	89417	89418	relocation, inconsistency = 27863	89416	13544
chr1_PATERNAL	hap2_contig_821_phaseblock_4	2966723	3909470	hap1_contig_821_phaseblock_0	3490941	3490942	translocation	3319094	1072955
chr1_PATERNAL	hap1_contig_1254_phaseblock_18	11016105	12831499	hap2_contig_1254_phaseblock_8	11831139	11831140	translocation	4624684	2673677
chr1_PATERNAL	hap2_contig_1254_phaseblock_69	55667648	56341346	hap1_contig_1254_phaseblock_26	55743753	55743754	translocation	7815372	1317715
chr1_PATERNAL	hap2_contig_1770_phaseblock_0	1	19964	hap2_contig_1770	11072	11701	relocation, inconsistency = -2437	11071	4477
chr1_PATERNAL	hap2_contig_1770_phaseblock_0	1	19964	hap2_contig_1770	16178	16416	translocation	4477	299
chr1_PATERNAL	hap2_contig_122_phaseblock_1	577228	1581569	hap2_contig_122_phaseblock_0	788271	788562	translocation	788270	804321
chr2_MATERNAL	hap2_contig_1674_phaseblock_0	1	71691	hap2_contig_1674_phaseblock_0	34777	34778	translocation	34776	894569
chr2_MATERNAL	hap1_contig_53_phaseblock_90	62266769	63632489	hap2_contig_53_phaseblock_38	63140724	63140725	translocation	899405	3707173
chr2_MATERNAL	hap2_contig_53_phaseblock_106	77006926	78085800	hap2_contig_53_phaseblock_43	77258011	77258012	translocation	236842	8858224
chr2_MATERNAL	hap1_contig_846_phaseblock_3	1023344	1218565	hap1_contig_846_phaseblock_1	1196548	1196549	translocation	693356	1669549
chr2_MATERNAL	hap2_contig_846_phaseblock_99	64040241	66023368	hap1_contig_846_phaseblock_37	64452379	64452380	translocation	2916269	1649813
chr2_MATERNAL	hap2_contig_846_phaseblock_144	101869985	103128573	hap2_contig_846_phaseblock_57	102882280	102882281	translocation	1009857	2561306
