#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap2_contig_1196_phaseblock_1	90299	136631	hap1_contig_1196_phaseblock_1	109517	109518	relocation, inconsistency = -509987	18879	27797
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_4934	1	48693	hap2_contig_4934	12094	12095	relocation, inconsistency = 4961210	12060	24511
chr1_MATERNAL	hap1_contig_4934	1	48693	hap2_contig_4934	36606	36607	relocation, inconsistency = -220006	24511	12158
chr1_MATERNAL	hap1_contig_5782_phaseblock_0	1	24422	hap2_contig_5782	20037	20038	relocation, inconsistency = -6151606	20006	4926
chr1_MATERNAL	hap2_contig_682_phaseblock_0	1	234185	hap1_contig_682_phaseblock_0	220741	220765	relocation, inconsistency = 858975	220740	13808
chr1_MATERNAL	hap2_contig_2194_phaseblock_0	1	124387	hap1_contig_2194_phaseblock_0	18283	18284	relocation, inconsistency = 56603	18282	106405
chr1_MATERNAL	hap2_contig_414_phaseblock_0	1	59021	hap1_contig_414_phaseblock_0	56073	56074	relocation, inconsistency = -586915	56072	2899
chr1_MATERNAL	hap2_contig_414_phaseblock_0	1	59021	hap2_contig_414_phaseblock_0	28940	29509	local misassembly	28939	29933
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	7190	7191	translocation	7189	6669
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	13860	13861	translocation	6669	16699
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	30560	30561	relocation, inconsistency = 57357	16699	5157
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	35718	35719	relocation, inconsistency = -57699	5157	30457
chr1_PATERNAL	hap2_contig_4099_phaseblock_0	1	100346	hap1_contig_4099	77079	77080	relocation, inconsistency = 51955	10902	21995
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	17015	17016	relocation, inconsistency = 2158567	17014	22225
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	39241	39242	relocation, inconsistency = -324217	22225	1608
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	40850	40851	relocation, inconsistency = -1834418	1608	44830
chr1_PATERNAL	hap2_contig_1699_phaseblock_0	1	86190	hap1_contig_1699_phaseblock_0	85681	85728	inversion	44830	333
chr1_PATERNAL	hap1_contig_1967_phaseblock_2	10809	22237	hap1_contig_1967	20951	20952	relocation, inconsistency = 8085320	20950	471
chr1_PATERNAL	hap1_contig_1967_phaseblock_2	10809	22237	hap1_contig_1967	21423	21424	relocation, inconsistency = 9694912	471	813
chr1_PATERNAL	hap1_contig_1967_phaseblock_2	10809	22237	hap2_contig_1967	20951	20952	relocation, inconsistency = 8085320	20950	471
chr1_PATERNAL	hap1_contig_1967_phaseblock_2	10809	22237	hap2_contig_1967	21423	21424	relocation, inconsistency = 9694912	471	813
chr1_PATERNAL	hap1_contig_3631_phaseblock_0	1	22949	hap2_contig_3631_phaseblock_0	5413	5414	relocation, inconsistency = -943120	5406	94946
chr1_PATERNAL	hap2_contig_3752_phaseblock_0	1	78469	hap1_contig_3752_phaseblock_0	31117	31118	relocation, inconsistency = -800741	31116	15426
chr1_PATERNAL	hap2_contig_3752_phaseblock_0	1	78469	hap1_contig_3752_phaseblock_0	46544	46545	relocation, inconsistency = -1883815	15426	7984
chr1_PATERNAL	hap2_contig_3752_phaseblock_0	1	78469	hap1_contig_3752_phaseblock_0	54529	54657	relocation, inconsistency = 1893997	7984	16076
chr1_PATERNAL	hap2_contig_4933_phaseblock_0	1	6540	hap2_contig_4933	3318	3319	translocation	2733	8250
chr1_PATERNAL	hap1_contig_5204_phaseblock_0	1	50769	hap2_contig_5204_phaseblock_0	4480	4481	relocation, inconsistency = 4948601	4479	36259
chr1_PATERNAL	hap1_contig_5204_phaseblock_0	1	50769	hap2_contig_5204_phaseblock_0	40740	40741	relocation, inconsistency = -2792114	36259	12750
chr1_PATERNAL	hap1_contig_612_phaseblock_0	1	128771	hap1_contig_612_phaseblock_0	63733	63734	local misassembly	63732	65375
chr1_PATERNAL	hap1_contig_619_phaseblock_2	13319	119947	hap2_contig_619_phaseblock_2	29330	29331	relocation, inconsistency = 706089	16011	17957
chr1_PATERNAL	hap1_contig_619_phaseblock_2	13319	119947	hap2_contig_619_phaseblock_2	47288	47289	relocation, inconsistency = -705278	17957	37183
