#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\filtered_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_raw_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1196_phaseblock_1	73545	140074	hap1_contig_1196_phaseblock_0	78336	78337	relocation, inconsistency = 13592	78335	12300
chr1_MATERNAL	hap1_contig_2027_phaseblock_1	54481	152047	hap1_contig_2027_phaseblock_0	62191	62192	translocation	62190	67425
chr1_MATERNAL	hap1_contig_2076_phaseblock_5	292032	329693	hap1_contig_2076_phaseblock_1	312577	312578	relocation, inconsistency = 31376	210385	16939
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_3042_phaseblock_0	1	21420	hap2_contig_3042_phaseblock_0	18990	18991	relocation, inconsistency = -513189	18974	2473
chr1_MATERNAL	hap1_contig_3360_phaseblock_0	1	15932	hap2_contig_3360	10075	10076	local misassembly	10074	6202
chr1_MATERNAL	hap1_contig_35_phaseblock_58	33511384	34240069	hap2_contig_35_phaseblock_47	34233199	34233200	translocation	732973	27245
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	74630	165518	hap2_contig_3587_phaseblock_1	147672	147673	local misassembly	75838	18422
chr1_MATERNAL	hap1_contig_4507_phaseblock_0	1	55133	hap2_contig_4507_phaseblock_0	17784	17785	relocation, inconsistency = 19016	17724	34593
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47330	hap2_contig_4720_phaseblock_0	10321	10322	local misassembly	10320	16438
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47330	hap2_contig_4720_phaseblock_0	26760	26761	local misassembly	16438	3503
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53135	hap2_contig_4864	31294	31535	relocation, inconsistency = -3162661	4067	1606
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53135	hap2_contig_4864	33141	33142	relocation, inconsistency = 52902	1606	11323
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53135	hap2_contig_4864	44465	44493	relocation, inconsistency = 827501	11323	9333
chr1_MATERNAL	hap2_contig_4935_phaseblock_13	28925	55816	hap1_contig_4935_phaseblock_8	38167	38476	local misassembly	10160	17483
chr1_MATERNAL	hap1_contig_681_phaseblock_0	1	40127	hap2_contig_681_phaseblock_0	33300	33593	relocation, inconsistency = -23351221	33299	6970
chr1_MATERNAL	hap2_contig_710	1	264512	hap1_contig_710_phaseblock_1	249930	249931	translocation	135021	13883
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65935	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65935	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65935	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap2_contig_3246_phaseblock_0	1	44224	hap1_contig_3246_phaseblock_0	20095	20096	relocation, inconsistency = 42919	20094	88955
chr1_PATERNAL	hap1_contig_2191_phaseblock_1	544251	1554549	hap2_contig_2191_phaseblock_0	750142	750370	translocation	750141	804870
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	26384	26385	translocation	16156	5742
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	32127	32128	translocation	5742	48271
chr1_PATERNAL	hap2_contig_1087_phaseblock_6	857623	889812	hap1_contig_1087_phaseblock_8	875291	875292	translocation	137701	13895
chr1_PATERNAL	hap1_contig_1388_phaseblock_0	1	91548	hap2_contig_1388_phaseblock_0	47252	47253	relocation, inconsistency = 148844	47251	13763
chr1_PATERNAL	hap1_contig_1388_phaseblock_0	1	91548	hap2_contig_1388_phaseblock_0	61016	61017	relocation, inconsistency = -147483	13763	29051
chr1_PATERNAL	hap2_contig_1726_phaseblock_1	36979	162758	hap2_contig_1726_phaseblock_0	69434	69435	local misassembly	69433	14913
chr1_PATERNAL	hap2_contig_1726_phaseblock_1	36979	162758	hap2_contig_1726_phaseblock_0	84348	84495	relocation, inconsistency = -225123	14913	69286
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	26811	26812	local misassembly	26810	7724
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	34536	34537	relocation, inconsistency = 4906824	7724	13873
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	48410	48411	relocation, inconsistency = -4922815	13873	14093
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	62504	62505	local misassembly	14093	23871
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	86376	86377	local misassembly	23871	2835
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	89212	89213	relocation, inconsistency = 4445747	2835	21067
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	110280	110281	relocation, inconsistency = 618286	21067	14004
chr1_PATERNAL	hap1_contig_2735_phaseblock_0	1	33118	hap2_contig_2735_phaseblock_0	30433	30434	relocation, inconsistency = -5075518	30432	2656
chr1_PATERNAL	hap2_contig_4883_phaseblock_1	268967	352356	hap1_contig_4883_phaseblock_1	316753	316754	relocation, inconsistency = 23961	12956	30081
chr1_PATERNAL	hap2_contig_4883_phaseblock_1	268967	352356	hap1_contig_4883_phaseblock_1	346835	346836	relocation, inconsistency = -24752	30081	8617
chr1_PATERNAL	hap1_contig_5303_phaseblock_0	1	257964	hap2_contig_5303_phaseblock_0	2551	2861	local misassembly	2550	255371
chr1_PATERNAL	hap1_contig_55_phaseblock_0	1	462199	hap2_contig_55_phaseblock_0	18595	18596	relocation, inconsistency = -710611	18594	333929
chr1_PATERNAL	hap1_contig_629_phaseblock_1	29078	101206	hap2_contig_629_phaseblock_0	74706	75075	local misassembly	74705	35734
chr1_PATERNAL	hap2_contig_4859_phaseblock_0	1	52916	hap1_contig_4859_phaseblock_2	40153	40154	relocation, inconsistency = 77964	24812	12253
chr1_PATERNAL	hap2_contig_533_phaseblock_0	1	38949	hap1_contig_533	30902	30903	relocation, inconsistency = 5075357	30901	3385
chr2_MATERNAL	hap1_contig_1922_phaseblock_1	101523	216206	hap2_contig_1922_phaseblock_1	129634	129635	translocation	29050	48920
chr2_MATERNAL	hap1_contig_1922_phaseblock_1	101523	216206	hap2_contig_1922_phaseblock_1	178555	178556	translocation	48920	79988
chr2_MATERNAL	hap1_contig_3816_phaseblock_63	31628043	34715892	hap2_contig_3816_phaseblock_53	32574540	32574541	translocation	938382	2157053
chr2_MATERNAL	hap2_contig_4381_phaseblock_0	1	326044	hap2_contig_4381_phaseblock_0	287858	287859	translocation	287857	44700
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	11982	11990	translocation	3094	541
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	22532	22533	translocation	104	8041
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	30574	31577	translocation	8041	10773
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	42350	42351	translocation	10773	8250
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	50601	50602	translocation	8250	1628
