#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\filtered_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r9\raw_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_104	1	4251	hap2_contig_104	991	1983	local misassembly	990	2405
chr1_MATERNAL	hap1_contig_104	1	4251	hap1_contig_104	1825	1828	translocation	694	1765
chr1_MATERNAL	hap1_contig_2987_phaseblock_0	1	159221	hap2_contig_2987_phaseblock_0	30541	30542	translocation	30540	64514
chr1_MATERNAL	hap1_contig_642_phaseblock_1	167038	260436	hap2_contig_642_phaseblock_0	185239	185240	relocation, inconsistency = 120576659	185238	12712
chr1_MATERNAL	hap1_contig_642_phaseblock_1	167038	260436	hap2_contig_642_phaseblock_0	197952	197953	translocation	12712	58924
chr2_MATERNAL	hap1_contig_1678_phaseblock_1	1211372	1339007	hap2_contig_1678_phaseblock_1	1248431	1248730	local misassembly	37532	173558
chr2_MATERNAL	hap1_contig_846_phaseblock_135	94771624	95885910	hap1_contig_846_phaseblock_130	95100961	95100962	translocation	328353	3680077
chr2_PATERNAL	hap2_contig_524_phaseblock_3	18673	157147	hap1_contig_524_phaseblock_0	91002	91003	translocation	91001	34686
chr2_PATERNAL	hap2_contig_524_phaseblock_3	18673	157147	hap1_contig_524_phaseblock_0	125689	125690	translocation	34686	26205
chr2_PATERNAL	hap1_contig_893_phaseblock_8	8015130	10670194	hap2_contig_893_phaseblock_8	9801769	9801770	translocation	1784717	873562
chr3_PATERNAL	hap2_contig_421_phaseblock_10	14289260	15158790	hap1_contig_421_phaseblock_9	14415891	14415892	translocation	3552597	747678
chr3_PATERNAL	hap2_contig_600_phaseblock_45	32804106	34639155	hap1_contig_600_phaseblock_47	32853998	32853999	translocation	51389	1737568
