#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_raw_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_2191_phaseblock_0	1	533070	hap1_contig_2191_phaseblock_0	420736	420737	translocation	420735	1133819
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	25714	26887	relocation, inconsistency = 1023881	15253	23731
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	50618	50619	relocation, inconsistency = 3527	23731	17739
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	68358	68359	relocation, inconsistency = 2350019	17739	12492
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	80851	80852	relocation, inconsistency = -581182	12492	9151
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_3003_phaseblock_7	53294	92788	hap2_contig_3003_phaseblock_6	87986	87987	relocation, inconsistency = 408477	41627	4237
