#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\filtered_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1869_phaseblock_0	1	62935	hap1_contig_1869_phaseblock_0	28720	28721	translocation	28719	5652
chr1_MATERNAL	hap1_contig_1869_phaseblock_0	1	62935	hap1_contig_1869_phaseblock_0	34373	34374	translocation	5652	136010
chr1_MATERNAL	hap2_contig_1869_phaseblock_0	1	62933	hap1_contig_1869_phaseblock_0	28720	28721	translocation	28719	5652
chr1_MATERNAL	hap2_contig_1869_phaseblock_0	1	62933	hap1_contig_1869_phaseblock_0	34373	34374	translocation	5652	136010
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8687	8688	relocation, inconsistency = -4883759	8686	15896
chr1_MATERNAL	hap1_contig_4866_phaseblock_0	1	63801	hap2_contig_4866	28886	28887	relocation, inconsistency = -2969261	28872	8548
chr1_MATERNAL	hap1_contig_4866_phaseblock_0	1	63801	hap2_contig_4866	37435	37436	relocation, inconsistency = 381969	8548	26244
chr1_MATERNAL	hap1_contig_5782_phaseblock_0	1	24422	hap2_contig_5782	20037	20038	relocation, inconsistency = -6151606	20006	4926
chr1_MATERNAL	hap2_contig_5848_phaseblock_0	1	26163	hap2_contig_5848	15160	15161	translocation	15146	2122
chr1_MATERNAL	hap2_contig_5848_phaseblock_0	1	26163	hap2_contig_5848	17283	17284	translocation	2122	59089
chr1_MATERNAL	hap2_contig_607_phaseblock_73	33698117	34311519	hap2_contig_607_phaseblock_67	34295701	34295702	relocation, inconsistency = 81846	591795	8576
chr1_MATERNAL	hap2_contig_2027_phaseblock_0	1	152047	hap2_contig_2027_phaseblock_1	62184	62185	translocation	7673	67425
chr1_MATERNAL	hap2_contig_4097_phaseblock_0	1	183134	hap2_contig_4097_phaseblock_0	93915	93916	local misassembly	93914	88913
chr1_PATERNAL	hap2_contig_2198_phaseblock_0	1	116538	hap1_contig_2198	37190	37191	translocation	37189	85857
chr1_PATERNAL	hap2_contig_35_phaseblock_69	33511378	34240326	hap2_contig_35_phaseblock_59	34233372	34233373	translocation	297	27238
chr1_PATERNAL	hap1_contig_509_phaseblock_0	1	1769858	hap1_contig_509_phaseblock_0	75583	75584	translocation	75582	5795
chr1_PATERNAL	hap1_contig_509_phaseblock_0	1	1769858	hap1_contig_509_phaseblock_0	81379	81380	relocation, inconsistency = 113158	5795	1670203
chr1_PATERNAL	hap1_contig_1726_phaseblock_0	1	162762	hap1_contig_1726_phaseblock_1	69710	69711	local misassembly	32441	14913
chr1_PATERNAL	hap1_contig_1726_phaseblock_0	1	162762	hap1_contig_1726_phaseblock_1	84624	84771	relocation, inconsistency = -225123	14913	69303
chr1_PATERNAL	hap1_contig_2730_phaseblock_0	1	116585	hap2_contig_2730_phaseblock_0	27346	27347	relocation, inconsistency = 4908259	27345	45235
chr1_PATERNAL	hap1_contig_2730_phaseblock_0	1	116585	hap2_contig_2730_phaseblock_0	72582	72583	relocation, inconsistency = -4899338	45235	35285
chr1_PATERNAL	hap1_contig_2734	1	38492	hap2_contig_2734	7628	7629	relocation, inconsistency = 7078	7627	31258
chr1_PATERNAL	hap1_contig_2742_phaseblock_0	1	170837	hap2_contig_2742	17253	17254	relocation, inconsistency = -5033994	17252	80155
chr1_PATERNAL	hap1_contig_2742_phaseblock_0	1	170837	hap2_contig_2742	114841	114842	local misassembly	17431	52681
chr1_PATERNAL	hap1_contig_2911_phaseblock_0	1	90956	hap2_contig_2911_phaseblock_0	6625	6626	relocation, inconsistency = 1098222	6624	26151
chr1_PATERNAL	hap1_contig_2911_phaseblock_0	1	90956	hap2_contig_2911_phaseblock_0	32777	32778	relocation, inconsistency = -1099010	26151	59086
chr1_PATERNAL	hap1_contig_2938_phaseblock_0	1	147694	hap2_contig_2938_phaseblock_0	60129	60991	local misassembly	45740	86741
chr1_PATERNAL	hap1_contig_2964_phaseblock_0	1	68052	hap2_contig_2964	43060	43061	relocation, inconsistency = 3035	43059	10746
chr1_PATERNAL	hap1_contig_4104_phaseblock_0	1	38782	hap1_contig_4104_phaseblock_0	8078	8079	relocation, inconsistency = 15300	8066	31405
chr1_PATERNAL	hap2_contig_4933_phaseblock_0	1	6540	hap1_contig_4933	3318	3319	translocation	2733	8250
chr1_PATERNAL	hap1_contig_5204_phaseblock_0	1	50769	hap2_contig_5204_phaseblock_0	25806	25807	relocation, inconsistency = 4455917	25805	5177
chr1_PATERNAL	hap1_contig_5204_phaseblock_0	1	50769	hap2_contig_5204_phaseblock_0	30984	30985	relocation, inconsistency = -2299424	5177	22503
chr1_PATERNAL	hap1_contig_612_phaseblock_0	1	128771	hap2_contig_612_phaseblock_0	52901	52902	relocation, inconsistency = -5889630	52900	222006
chr1_PATERNAL	hap1_contig_629_phaseblock_0	1	78936	hap2_contig_629_phaseblock_1	71331	71332	relocation, inconsistency = 755305	41876	9748
chr1_PATERNAL	hap1_contig_785_phaseblock_1	63678	197577	hap2_contig_785_phaseblock_1	112789	112790	local misassembly	52558	30024
chr1_PATERNAL	hap1_contig_785_phaseblock_1	63678	197577	hap2_contig_785_phaseblock_1	142814	142815	relocation, inconsistency = -522222	30024	5566
chr1_PATERNAL	hap1_contig_785_phaseblock_1	63678	197577	hap2_contig_785_phaseblock_1	148381	148382	local misassembly	5566	12324
chr1_PATERNAL	hap1_contig_785_phaseblock_1	63678	197577	hap2_contig_785_phaseblock_1	160706	160707	relocation, inconsistency = 522441	12324	36555
chr1_PATERNAL	hap2_contig_1182_phaseblock_0	1	66580	hap1_contig_1182_phaseblock_0	63859	63860	relocation, inconsistency = 2581926	63858	2754
chr1_PATERNAL	hap2_contig_1725_phaseblock_17	629	6589	hap1_contig_1725_phaseblock_7	2685	2686	relocation, inconsistency = -226292	2056	16546
chr1_PATERNAL	hap2_contig_4813_phaseblock_0	1	92339	hap1_contig_4813_phaseblock_0	1548	2154	local misassembly	1547	10940
chr1_PATERNAL	hap2_contig_4813_phaseblock_0	1	92339	hap1_contig_4813_phaseblock_0	13094	13625	local misassembly	10940	8350
chr1_PATERNAL	hap2_contig_4813_phaseblock_0	1	92339	hap1_contig_4813_phaseblock_0	21975	22245	local misassembly	8350	6070
chr2_MATERNAL	hap1_contig_2208	1	109622	hap1_contig_2208_phaseblock_0	90889	90890	relocation, inconsistency = 1869	90888	17074
chr2_MATERNAL	hap2_contig_3816_phaseblock_89	44965288	45836397	hap1_contig_3816_phaseblock_81	45570477	45570478	translocation	618720	1325819
chr2_MATERNAL	hap1_contig_4381_phaseblock_0	1	326046	hap1_contig_4381_phaseblock_0	287858	287859	translocation	287857	44700
chr2_MATERNAL	hap1_contig_5482_phaseblock_0	1	70502	hap2_contig_5482	50941	51261	local misassembly	50940	21837
chr2_MATERNAL	hap1_contig_816_phaseblock_0	1	30825	hap2_contig_816	8236	8983	translocation	8235	10425
chr2_MATERNAL	hap1_contig_816_phaseblock_0	1	30825	hap2_contig_816	19408	19409	translocation	10425	5096
chr2_MATERNAL	hap1_contig_816_phaseblock_0	1	30825	hap2_contig_816	24505	24506	relocation, inconsistency = -1023835	5096	6223
chr2_MATERNAL	hap2_contig_1805	1	69581	hap1_contig_1805	55573	55574	relocation, inconsistency = 19268626	50440	7248
chr2_PATERNAL	hap2_contig_3075_phaseblock_0	1	43601	hap1_contig_3075	2316	2317	relocation, inconsistency = -11533	2315	6513
chr2_PATERNAL	hap2_contig_3075_phaseblock_0	1	43601	hap1_contig_3075	8830	10370	local misassembly	6513	3410
chr2_PATERNAL	hap2_contig_3075_phaseblock_0	1	43601	hap1_contig_3075	13780	13781	translocation	3410	33314
chr2_PATERNAL	hap2_contig_3067_phaseblock_0	1	45941	hap2_contig_3067_phaseblock_0	41528	44469	translocation	41526	9115
