#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_raw_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_2191_phaseblock_0	1	544251	hap1_contig_2191_phaseblock_0	420736	420737	translocation	420735	1133819
chr1_MATERNAL	hap2_contig_2194_phaseblock_0	1	124387	hap1_contig_2194_phaseblock_0	18283	18284	relocation, inconsistency = 56603	18282	106405
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65933	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	25714	26887	relocation, inconsistency = 1023881	15253	23731
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	50618	50619	relocation, inconsistency = 3527	23731	17739
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	68358	68359	relocation, inconsistency = 2350019	17739	12492
chr1_MATERNAL	hap1_contig_2983_phaseblock_0	1	87431	hap2_contig_2983_phaseblock_0	80851	80852	relocation, inconsistency = -581182	12492	9151
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_3003_phaseblock_7	53294	92788	hap2_contig_3003_phaseblock_6	87986	87987	relocation, inconsistency = 408477	41627	4237
chr1_MATERNAL	hap1_contig_3042_phaseblock_0	1	21420	hap2_contig_3042_phaseblock_0	18990	18991	relocation, inconsistency = -513189	18974	2473
chr1_MATERNAL	hap2_contig_3326_phaseblock_0	1	28196	hap1_contig_3326	25779	25780	relocation, inconsistency = 298471	25328	3191
chr1_MATERNAL	hap1_contig_3360_phaseblock_0	1	15932	hap2_contig_3360	10075	10076	local misassembly	10074	6202
chr1_MATERNAL	hap2_contig_35_phaseblock_52	33510567	34239488	hap2_contig_35_phaseblock_47	34233199	34233200	translocation	732973	27245
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	71744	165518	hap2_contig_3587_phaseblock_1	147672	147673	local misassembly	75838	18422
chr1_MATERNAL	hap1_contig_4507_phaseblock_0	1	42838	hap2_contig_4507_phaseblock_0	17784	17785	relocation, inconsistency = 19016	17724	34593
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	10321	10322	local misassembly	10320	16438
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47328	hap2_contig_4720_phaseblock_0	26760	26761	local misassembly	16438	3503
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53134	hap2_contig_4864	31294	31535	relocation, inconsistency = -3162661	4067	1606
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53134	hap2_contig_4864	33141	33142	relocation, inconsistency = 52902	1606	11323
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53134	hap2_contig_4864	44465	44493	relocation, inconsistency = 827501	11323	9333
chr1_MATERNAL	hap2_contig_4879	1	41014	hap1_contig_4879	27883	27884	relocation, inconsistency = 2769032	27852	4515
chr1_MATERNAL	hap2_contig_4879	1	41014	hap1_contig_4879	32399	32400	relocation, inconsistency = -2809924	4515	8852
chr1_MATERNAL	hap2_contig_4935_phaseblock_13	28639	55808	hap1_contig_4935_phaseblock_8	38167	38476	local misassembly	10160	17483
chr1_MATERNAL	hap1_contig_677_phaseblock_0	1	85632	hap2_contig_677	51346	51347	relocation, inconsistency = 21091689	51344	43288
chr1_MATERNAL	hap2_contig_710	1	264498	hap1_contig_710_phaseblock_1	249930	249931	translocation	135021	13883
chr1_PATERNAL	hap1_contig_2906_phaseblock_0	1	62141	hap2_contig_2906_phaseblock_0	40231	40425	translocation	40230	4607
chr1_PATERNAL	hap1_contig_2906_phaseblock_0	1	62141	hap2_contig_2906_phaseblock_0	45032	45033	translocation	4607	17574
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	1604	8766	translocation	1603	4684
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	13450	13963	local misassembly	4684	8444
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	22892	23095	local misassembly	443	2508
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	25986	47306	relocation, inconsistency = 120765	382	37172
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	84478	85400	translocation	37172	772
chr1_PATERNAL	hap1_contig_363_phaseblock_0	1	102108	hap2_contig_363	86172	88380	translocation	772	2670
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	26384	26385	translocation	16156	5742
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	32127	32128	translocation	5742	48271
