#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\filtered_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10_duplex\raw_snp_filtered_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1196_phaseblock_1	73545	140074	hap1_contig_1196_phaseblock_1	109517	109518	relocation, inconsistency = -509987	18879	27797
chr1_MATERNAL	hap2_contig_3001_phaseblock_0	1	24313	hap1_contig_3001_phaseblock_0	8685	8686	relocation, inconsistency = -4883759	8684	15896
chr1_MATERNAL	hap1_contig_3360_phaseblock_0	1	15932	hap2_contig_3360	10075	10076	local misassembly	10074	6202
chr1_MATERNAL	hap1_contig_3587_phaseblock_1	74630	165518	hap2_contig_3587_phaseblock_1	147499	147500	local misassembly	75751	18422
chr1_MATERNAL	hap1_contig_4507_phaseblock_0	1	55133	hap2_contig_4507_phaseblock_0	17784	17785	relocation, inconsistency = 19016	17724	34595
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47330	hap2_contig_4720_phaseblock_0	10321	10322	local misassembly	10320	16438
chr1_MATERNAL	hap1_contig_4720_phaseblock_0	1	47330	hap2_contig_4720_phaseblock_0	26760	26761	local misassembly	16438	3503
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53135	hap2_contig_4864	31294	31535	relocation, inconsistency = -3162661	4067	1606
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53135	hap2_contig_4864	33141	33142	relocation, inconsistency = 52902	1606	11323
chr1_MATERNAL	hap1_contig_4864_phaseblock_0	1	53135	hap2_contig_4864	44465	44493	relocation, inconsistency = 827501	11323	9333
chr1_MATERNAL	hap2_contig_4935_phaseblock_13	28925	55816	hap1_contig_4935_phaseblock_8	38167	38480	local misassembly	10160	17500
chr1_MATERNAL	hap1_contig_5782_phaseblock_0	1	24422	hap2_contig_5782	20037	20038	relocation, inconsistency = -6151606	20006	4926
chr1_MATERNAL	hap1_contig_681_phaseblock_0	1	40127	hap2_contig_681_phaseblock_0	33300	33593	relocation, inconsistency = -23351221	33299	6970
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65935	hap1_contig_2760_phaseblock_0	7271	7696	relocation, inconsistency = 2682	7270	18723
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65935	hap1_contig_2760_phaseblock_0	26419	26420	relocation, inconsistency = 106827	18723	6567
chr1_MATERNAL	hap2_contig_2760_phaseblock_0	1	65935	hap1_contig_2760_phaseblock_0	32987	32988	relocation, inconsistency = -1308	6567	26498
chr1_MATERNAL	hap2_contig_682_phaseblock_0	1	234197	hap1_contig_682_phaseblock_0	220741	220765	relocation, inconsistency = 858975	220740	13808
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	26384	26385	translocation	16156	5742
chr1_PATERNAL	hap1_contig_4589_phaseblock_0	1	81120	hap2_contig_4589_phaseblock_0	32127	32128	translocation	5742	48271
chr1_PATERNAL	hap1_contig_1388_phaseblock_0	1	91548	hap2_contig_1388_phaseblock_0	47252	47253	relocation, inconsistency = 148844	47251	13763
chr1_PATERNAL	hap1_contig_1388_phaseblock_0	1	91548	hap2_contig_1388_phaseblock_0	61016	61017	relocation, inconsistency = -147483	13763	29051
chr1_PATERNAL	hap1_contig_2386_phaseblock_0	1	83051	hap2_contig_2386_phaseblock_0	21452	21453	relocation, inconsistency = 1981	21451	65569
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	26811	26812	local misassembly	26810	7724
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	34536	34537	relocation, inconsistency = 4906824	7724	13873
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	48410	48411	relocation, inconsistency = -4922815	13873	14093
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	62504	62505	local misassembly	14093	23871
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	86376	86377	local misassembly	23871	2835
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	89212	89213	relocation, inconsistency = 4445747	2835	21067
chr1_PATERNAL	hap1_contig_2731_phaseblock_0	1	125335	hap2_contig_2731_phaseblock_0	110280	110281	relocation, inconsistency = 618286	21067	14004
chr1_PATERNAL	hap1_contig_2735_phaseblock_0	1	33118	hap2_contig_2735_phaseblock_0	30433	30434	relocation, inconsistency = -5075518	30432	2656
chr1_PATERNAL	hap1_contig_3631	1	116237	hap2_contig_3631_phaseblock_0	5413	5414	relocation, inconsistency = -943120	5406	94946
chr1_PATERNAL	hap1_contig_4884_phaseblock_0	1	72026	hap2_contig_4884_phaseblock_0	66622	66623	relocation, inconsistency = -603761	66621	4065
chr1_PATERNAL	hap1_contig_4884_phaseblock_0	1	72026	hap2_contig_4884_phaseblock_0	70688	70689	relocation, inconsistency = -9544037	4065	2165
chr1_PATERNAL	hap1_contig_5204_phaseblock_0	1	50769	hap2_contig_5204_phaseblock_0	4480	4481	relocation, inconsistency = 4948601	4479	36259
chr1_PATERNAL	hap1_contig_5204_phaseblock_0	1	50769	hap2_contig_5204_phaseblock_0	40740	40741	relocation, inconsistency = -2792114	36259	12750
chr1_PATERNAL	hap1_contig_55_phaseblock_0	1	462199	hap2_contig_55_phaseblock_0	18595	18596	relocation, inconsistency = -710611	18594	333929
chr1_PATERNAL	hap1_contig_612_phaseblock_0	1	167840	hap1_contig_612_phaseblock_0	63733	63734	local misassembly	63732	65375
chr1_PATERNAL	hap1_contig_619_phaseblock_0	1	118256	hap2_contig_619_phaseblock_2	29330	29331	relocation, inconsistency = 706089	16011	17957
chr1_PATERNAL	hap1_contig_619_phaseblock_0	1	118256	hap2_contig_619_phaseblock_2	47288	47289	relocation, inconsistency = -705278	17957	37183
chr1_PATERNAL	hap1_contig_619_phaseblock_0	1	118256	hap2_contig_619_phaseblock_2	84472	84473	relocation, inconsistency = 1792	37183	33026
chr1_PATERNAL	hap1_contig_628_phaseblock_0	1	99097	hap2_contig_628_phaseblock_0	30723	30724	relocation, inconsistency = 2904686	30722	9970
chr1_PATERNAL	hap1_contig_628_phaseblock_0	1	99097	hap2_contig_628_phaseblock_0	40694	40695	relocation, inconsistency = -2905002	9970	23872
chr1_PATERNAL	hap1_contig_628_phaseblock_0	1	99097	hap2_contig_628_phaseblock_0	64567	64599	local misassembly	23872	35286
chr1_PATERNAL	hap1_contig_629_phaseblock_1	29078	101206	hap2_contig_629_phaseblock_1	81076	81077	relocation, inconsistency = -760690	609	31239
chr1_PATERNAL	hap2_contig_2084_phaseblock_0	1	58250	hap2_contig_2084_phaseblock_5	49985	49986	local misassembly	48444	8722
chr2_MATERNAL	hap1_contig_1922_phaseblock_1	101523	216206	hap2_contig_1922_phaseblock_1	129643	129644	translocation	28011	48919
chr2_MATERNAL	hap1_contig_1922_phaseblock_1	101523	216206	hap2_contig_1922_phaseblock_1	178563	178564	translocation	48919	79988
chr2_MATERNAL	hap1_contig_3816_phaseblock_63	31628043	34715892	hap2_contig_3816_phaseblock_62	32575463	32575464	translocation	933577	2157053
chr2_MATERNAL	hap1_contig_5437_phaseblock_1	92480	2627074	hap1_contig_5437_phaseblock_1	730197	730198	translocation	637767	4865219
chr2_MATERNAL	hap2_contig_5427_phaseblock_0	1	96554	hap1_contig_5427_phaseblock_0	45257	45885	translocation	45256	758
chr2_MATERNAL	hap2_contig_5427_phaseblock_0	1	96554	hap1_contig_5427_phaseblock_0	46643	47929	relocation, inconsistency = 1211345	758	49801
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	11982	11990	translocation	3094	541
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	22532	22533	translocation	104	8041
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	30574	31577	translocation	8041	10773
chr2_PATERNAL	hap2_contig_2564_phaseblock_0	1	72940	hap1_contig_2564	42350	42351	translocation	10773	8250
