#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\raw_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\raw_snp_raw_indel\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1254_phaseblock_3	693307	787044	hap2_contig_1254_phaseblock_5	732574	732575	translocation	37485	11166
chr1_MATERNAL	hap1_contig_1254_phaseblock_3	693307	787044	hap2_contig_1254_phaseblock_5	743741	743742	translocation	11166	2386
chr1_MATERNAL	hap1_contig_1273_phaseblock_1	183046	343670	hap1_contig_1273_phaseblock_1	318130	318131	translocation	135082	16964
chr1_MATERNAL	hap1_contig_1273_phaseblock_1	183046	343670	hap1_contig_1273_phaseblock_1	335095	335096	relocation, inconsistency = 3812343	16964	386
chr1_MATERNAL	hap1_contig_1912_phaseblock_0	1	81088	hap2_contig_1912_phaseblock_0	16776	17559	local misassembly	16775	22561
chr1_MATERNAL	hap1_contig_1912_phaseblock_0	1	81088	hap2_contig_1912_phaseblock_0	40120	40121	relocation, inconsistency = -2350884	22561	10147
chr1_MATERNAL	hap1_contig_1912_phaseblock_0	1	81088	hap2_contig_1912_phaseblock_0	50268	50269	relocation, inconsistency = 2379690	10147	26397
chr1_MATERNAL	hap1_contig_1912_phaseblock_0	1	81088	hap2_contig_1912_phaseblock_0	76666	76667	relocation, inconsistency = -29837	26397	3103
chr1_MATERNAL	hap1_contig_1924_phaseblock_0	1	57140	hap2_contig_1924	4241	4242	relocation, inconsistency = -4560066	4240	33475
chr1_MATERNAL	hap1_contig_1924_phaseblock_0	1	57140	hap2_contig_1924	37717	37718	relocation, inconsistency = 2499776	33475	6998
chr1_MATERNAL	hap1_contig_1924_phaseblock_0	1	57140	hap2_contig_1924	44716	45303	local misassembly	6998	9525
chr1_MATERNAL	hap1_contig_1928_phaseblock_0	1	101539	hap2_contig_1928	24255	24256	relocation, inconsistency = 1163789	24065	5058
chr1_MATERNAL	hap1_contig_1928_phaseblock_0	1	101539	hap2_contig_1928	29314	29315	relocation, inconsistency = -1139761	5058	60228
chr1_MATERNAL	hap1_contig_1928_phaseblock_0	1	101539	hap2_contig_1928	89543	89544	relocation, inconsistency = 20358	60228	15626
chr1_MATERNAL	hap1_contig_2688_phaseblock_0	1	150388	hap2_contig_2688	108328	108329	translocation	108327	39913
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68208	148840	hap2_contig_4081_phaseblock_0	126698	126699	translocation	122063	4925
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68208	148840	hap2_contig_4081_phaseblock_0	131624	131625	relocation, inconsistency = 3395	4925	11478
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	68208	148840	hap2_contig_4081_phaseblock_0	143103	143308	translocation	11478	6892
chr1_MATERNAL	hap1_contig_606	1	141836	hap2_contig_606_phaseblock_0	35359	35360	relocation, inconsistency = -77114	35358	10132
chr1_MATERNAL	hap1_contig_606	1	141836	hap2_contig_606_phaseblock_0	45492	45493	relocation, inconsistency = 13126	10132	21479
chr1_MATERNAL	hap1_contig_606	1	141836	hap2_contig_606_phaseblock_0	66972	67368	translocation	21479	16707
chr1_MATERNAL	hap1_contig_606	1	141836	hap2_contig_606_phaseblock_0	84075	84076	translocation	16707	22118
chr1_MATERNAL	hap1_contig_606	1	141836	hap2_contig_606_phaseblock_0	106194	106198	relocation, inconsistency = -26368	22118	28895
chr1_MATERNAL	hap1_contig_613_phaseblock_0	1	123470	hap2_contig_613_phaseblock_0	11446	11447	local misassembly	11445	13464
chr1_MATERNAL	hap1_contig_613_phaseblock_0	1	123470	hap2_contig_613_phaseblock_0	24911	24912	relocation, inconsistency = 239958	13464	18136
chr1_MATERNAL	hap1_contig_613_phaseblock_0	1	123470	hap2_contig_613_phaseblock_0	43048	43049	relocation, inconsistency = 83009	18136	68584
chr1_PATERNAL	hap1_contig_1253_phaseblock_1	186895	425697	hap2_contig_1253_phaseblock_0	344410	344411	local misassembly	311089	16852
chr1_PATERNAL	hap1_contig_1253_phaseblock_1	186895	425697	hap2_contig_1253_phaseblock_0	361263	361264	local misassembly	16852	58595
chr1_PATERNAL	hap2_contig_2166_phaseblock_4	22988	79795	hap1_contig_2166_phaseblock_4	45566	45567	local misassembly	22578	1879
chr1_PATERNAL	hap2_contig_2166_phaseblock_4	22988	79795	hap1_contig_2166_phaseblock_4	47446	47447	relocation, inconsistency = 768534	1879	16846
chr1_PATERNAL	hap2_contig_2166_phaseblock_4	22988	79795	hap1_contig_2166_phaseblock_4	64293	64294	relocation, inconsistency = -3851	16846	66051
chr1_PATERNAL	hap1_contig_585_phaseblock_2	318592	432199	hap2_contig_585_phaseblock_2	383043	383044	translocation	59238	3109
chr1_PATERNAL	hap1_contig_585_phaseblock_2	318592	432199	hap2_contig_585_phaseblock_2	386153	386799	relocation, inconsistency = -59721	3109	23161
