#Base quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\filtered_snp_filtered_indel\quast_results
#compare quast results: C:\Users\Xiaotuantuan\Documents\quast_2\r10\raw_snp\quast_results
##CHROM	BASE_PHASEBLOCK	BASE_CONTIG_START	BASE_CONTIG_END	COMP_PHASEBLOCK	COMP_CONTIG_START	COMP_CONTIG_END	MIS_MSG	LAST_FRAGMENT_LENGTH	NEXT_FRAGMENT_LENGTH
chr1_MATERNAL	hap1_contig_1060_phaseblock_0	1	127266	hap2_contig_1060_phaseblock_0	68322	68323	local misassembly	68321	17210
chr1_MATERNAL	hap1_contig_1128_phaseblock_0	1	88408	hap2_contig_1128_phaseblock_0	59795	59796	translocation	59794	27571
chr1_MATERNAL	hap1_contig_1254_phaseblock_2	656204	785576	hap2_contig_1254_phaseblock_5	732587	732588	translocation	37483	11166
chr1_MATERNAL	hap1_contig_1254_phaseblock_2	656204	785576	hap2_contig_1254_phaseblock_5	743754	743755	translocation	11166	2386
chr1_MATERNAL	hap1_contig_1507	1	24172	hap2_contig_1507	24027	24028	relocation, inconsistency = 72140	24026	3058
chr1_MATERNAL	hap1_contig_1529	1	56866	hap2_contig_1529	56153	56154	translocation	56152	727
chr1_MATERNAL	hap1_contig_3243_phaseblock_0	1	35139	hap2_contig_3243	1351	1352	translocation	1315	35816
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	65678	148840	hap2_contig_4081_phaseblock_0	126691	126692	relocation, inconsistency = -1019	122055	6378
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	65678	148840	hap2_contig_4081_phaseblock_0	133070	133071	translocation	6378	10025
chr1_MATERNAL	hap1_contig_4081_phaseblock_1	65678	148840	hap2_contig_4081_phaseblock_0	143096	143301	translocation	10025	6892
chr1_MATERNAL	hap1_contig_4305_phaseblock_0	1	137942	hap2_contig_4305	39801	39802	relocation, inconsistency = -2039226	39800	37775
chr1_MATERNAL	hap1_contig_4305_phaseblock_0	1	137942	hap2_contig_4305	77577	77578	relocation, inconsistency = 4391125	37775	9420
chr1_MATERNAL	hap1_contig_4305_phaseblock_0	1	137942	hap2_contig_4305	86998	86999	relocation, inconsistency = -1949018	9420	10040
chr1_MATERNAL	hap1_contig_4305_phaseblock_0	1	137942	hap2_contig_4305	97039	97040	relocation, inconsistency = -2802160	10040	37811
chr1_MATERNAL	hap1_contig_4305_phaseblock_0	1	137942	hap2_contig_4305	134851	134852	relocation, inconsistency = -21311	37811	1811
chr1_MATERNAL	hap2_contig_1910	1	21986	hap2_contig_1910_phaseblock_0	586	587	relocation, inconsistency = -1371995	585	23647
chr1_PATERNAL	hap1_contig_3200_phaseblock_0	1	55153	hap2_contig_3200_phaseblock_0	44717	44718	translocation	44716	14944
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	242151	352856	hap2_contig_1091_phaseblock_2	268416	268417	relocation, inconsistency = 4381404	26770	5736
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	242151	352856	hap2_contig_1091_phaseblock_2	274153	274199	relocation, inconsistency = 1472452	5736	12951
chr1_PATERNAL	hap1_contig_1091_phaseblock_2	242151	352856	hap2_contig_1091_phaseblock_2	287150	287151	relocation, inconsistency = -5854478	12951	34585
